127.0.0.1 - - [23/Apr/2020:05:44:46 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Apr/2020:05:44:47 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [23/Apr/2020:05:45:28 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [23/Apr/2020:05:45:29 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [23/Apr/2020:05:45:29 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 200 113751
0:0:0:0:0:0:0:1 - - [23/Apr/2020:05:45:30 +0530] "GET /ResumeClassification/theme/assets/js/ready.min.js HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [23/Apr/2020:05:45:30 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [23/Apr/2020:05:45:30 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [23/Apr/2020:05:45:44 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:47:53 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:47:53 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:47:53 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:47:53 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:47:53 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:47:55 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6954
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:47:57 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 200 113751
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:47:57 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:47:57 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:47:57 +0530] "GET /ResumeClassification/theme/assets/js/ready.min.js HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:47:57 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:47:57 +0530] "GET /ResumeClassification/theme/assets/img/profile.png HTTP/1.1" 200 52773
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:48:26 +0530] "GET /ResumeClassification/theme/assets/img/menu2.png HTTP/1.1" 200 3448
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:48:27 +0530] "GET /ResumeClassification/theme/assets/fonts/line-awesome.woff2?v=1.1. HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:48:28 +0530] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:48:39 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=logout HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:48:39 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:48:39 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:48:39 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 200 113751
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:48:39 +0530] "GET /ResumeClassification/theme/assets/js/ready.min.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:48:54 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:48:54 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6954
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:48:54 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:51:06 +0530] "GET /ResumeClassification/pages/uploadResume.jsp HTTP/1.1" 200 14721
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:51:07 +0530] "GET /ResumeClassification/theme/assets/img/menu2.png HTTP/1.1" 200 3448
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:51:07 +0530] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:52:58 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=uploadResume HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:52:58 +0530] "GET /ResumeClassification/pages/viewResume.jsp HTTP/1.1" 200 9520
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:52:58 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:52:58 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:52:59 +0530] "GET /ResumeClassification/theme/assets/img/menu2.png HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:53:02 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=showImage&pid=2 HTTP/1.1" 200 13096
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:57:48 +0530] "GET /ResumeClassification/pages/jobs.jsp HTTP/1.1" 200 9217
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:57:48 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:57:48 +0530] "GET /ResumeClassification/theme/assets/img/menu2.png HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:06:57:48 +0530] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:04:12 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=logout HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:04:12 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:04:12 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:04:19 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:04:19 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6781
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:04:19 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:04:19 +0530] "GET /ResumeClassification/theme/assets/img/menu2.png HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:05:30 +0530] "GET /ResumeClassification/pages/jobRecruite.jsp HTTP/1.1" 200 13341
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:05:31 +0530] "GET /ResumeClassification/theme/assets/img/menu2.png HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:05:31 +0530] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:05:59 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=postJob HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:06:02 +0530] "GET /ResumeClassification/pages/jobRecruite.jsp HTTP/1.1" 200 13341
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:06:02 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:06:02 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 200 113751
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:06:02 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:06:06 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 8819
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:06:06 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 200 113751
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:06:36 +0530] "GET /ResumeClassification/pages/searchCandidates.jsp HTTP/1.1" 200 9716
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:06:36 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:06:36 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:06:36 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 200 113751
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:08:24 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=viewFile&uid=2 HTTP/1.1" 200 85218
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:10:29 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:10:34 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:10:34 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6954
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:10:39 +0530] "GET /ResumeClassification/pages/jobs.jsp HTTP/1.1" 200 9729
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:10:43 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=applyJob&uid=2&jid=6 HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:10:45 +0530] "GET /ResumeClassification/pages/jobs.jsp HTTP/1.1" 200 9712
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:10:46 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:10:46 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:10:46 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:07:10:46 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 304 -
