0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:18:40 +0530] "GET /ResumeClassification/theme/assets/js/plugin/chart-circle/circles.min.js HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:18:40 +0530] "GET /ResumeClassification/theme/assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js HTTP/1.1" 200 12248
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:18:40 +0530] "GET /ResumeClassification/theme/assets/js/popper.min.js HTTP/1.1" 200 19188
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:18:40 +0530] "GET /ResumeClassification/theme/assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:18:40 +0530] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:23:57 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:23:57 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 7151
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:23:58 +0530] "GET /ResumeClassification/theme/assets/img/profile.png HTTP/1.1" 200 52773
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:23:58 +0530] "GET /ResumeClassification/theme/assets/img/menu2.png HTTP/1.1" 200 3448
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:23:58 +0530] "GET /ResumeClassification/theme/assets/fonts/line-awesome.woff2?v=1.1. HTTP/1.1" 200 45108
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:24:21 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 7151
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:24:23 +0530] "GET /ResumeClassification/pages/jobRecruite.jsp HTTP/1.1" 200 13531
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:26:01 +0530] "GET /ResumeClassification/pages/searchCandidates.jsp HTTP/1.1" 200 12784
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:26:04 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=viewFile&uid=1 HTTP/1.1" 200 193547
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:26:08 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=viewFile&uid=4 HTTP/1.1" 200 193547
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:27:06 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 13241
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:27:18 +0530] "GET /ResumeClassification/pages/jobApplied.jsp?jobid=1 HTTP/1.1" 200 8842
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:27:27 +0530] "GET /ResumeClassification/pages/jobRecruite.jsp HTTP/1.1" 200 13531
