127.0.0.1 - - [28/Apr/2020:12:15:28 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/core/jquery.3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/core/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/core/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/plugin/chartist/chartist.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/plugin/jquery-ui-1.12.1.custom/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/plugin/chartist/plugin/chartist-plugin-tooltip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/plugin/bootstrap-toggle/bootstrap-toggle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/plugin/jquery-mapael/jquery.mapael.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/plugin/chart-circle/circles.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/ready.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:32 +0530] "GET /ResumeClassification/theme/assets/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:15:33 +0530] "GET /ResumeClassification/theme/assets/js/plugin/jquery-mapael/maps/world_countries.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:16:56 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:17:02 +0530] "GET /ResumeClassification/theme/assets/js/ready.min.js HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:17:02 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 200 113751
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:17:02 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:17:02 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:17:02 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:17:54 +0530] "GET /ResumeClassification/pages/registerCandidate.jsp HTTP/1.1" 200 5854
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:18:57 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=registerCandidate HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:18:57 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=registerCandidate HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:18:57 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=registerCandidate HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:18:57 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:18:58 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=registerCandidate HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:19:10 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:19:10 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6114
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:19:13 +0530] "GET /ResumeClassification/pages/uploadResume.jsp HTTP/1.1" 200 13880
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:20:28 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=uploadResume HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2020:12:20:28 +0530] "GET /ResumeClassification/pages/viewResume.jsp HTTP/1.1" 200 9509
