127.0.0.1 - - [19/Apr/2020:15:44:35 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:44:38 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:44:38 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:44:39 +0530] "GET /ResumeClassification/theme/assets/img/resume.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:44:58 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:44:59 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:44:59 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 200 113751
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:45:00 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:45:00 +0530] "GET /ResumeClassification/theme/assets/js/ready.min.js HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:45:00 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:45:17 +0530] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:45:22 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:45:22 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6954
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:45:30 +0530] "GET /ResumeClassification/pages/uploadResume.jsp HTTP/1.1" 200 14721
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:46:33 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=uploadResume HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:46:34 +0530] "GET /ResumeClassification/pages/viewResume.jsp HTTP/1.1" 200 9520
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:46:35 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=showImage&pid=2 HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:48:18 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=uploadResume HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:48:18 +0530] "GET /ResumeClassification/pages/viewResume.jsp HTTP/1.1" 200 9520
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:48:19 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=showImage&pid=2 HTTP/1.1" 200 12813
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:48:19 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=showImage&pid=2 HTTP/1.1" 200 12813
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:48:35 +0530] "GET /ResumeClassification/pages/viewResume.jsp HTTP/1.1" 200 9520
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:48:35 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=showImage&pid=2 HTTP/1.1" 200 12813
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:48:59 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=viewFile&uid=2 HTTP/1.1" 200 251213
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:49:22 +0530] "GET /ResumeClassification/pages/jobs.jsp HTTP/1.1" 200 8730
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:49:25 +0530] "GET /ResumeClassification/pages/uploadResume.jsp HTTP/1.1" 200 14721
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:49:28 +0530] "GET /ResumeClassification/pages/jobRecommendation.jsp HTTP/1.1" 200 6934
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:49:34 +0530] "GET /ResumeClassification/pages/jobRecommendation.jsp HTTP/1.1" 200 6934
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:49:34 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:49:34 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:49:34 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 304 -
