127.0.0.1 - - [04/May/2020:11:01:38 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/May/2020:11:01:58 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [04/May/2020:11:02:50 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [04/May/2020:11:02:57 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 200 113751
0:0:0:0:0:0:0:1 - - [04/May/2020:11:02:57 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [04/May/2020:11:02:57 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [04/May/2020:11:02:58 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [04/May/2020:11:02:58 +0530] "GET /ResumeClassification/theme/assets/js/ready.min.js HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [04/May/2020:11:03:52 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/May/2020:11:03:52 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/May/2020:11:03:53 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6781
0:0:0:0:0:0:0:1 - - [04/May/2020:11:03:54 +0530] "GET /ResumeClassification/theme/assets/img/profile.png HTTP/1.1" 200 52773
0:0:0:0:0:0:0:1 - - [04/May/2020:11:03:54 +0530] "GET /ResumeClassification/theme/assets/fonts/line-awesome.woff2?v=1.1. HTTP/1.1" 200 45108
0:0:0:0:0:0:0:1 - - [04/May/2020:11:03:54 +0530] "GET /ResumeClassification/theme/assets/img/menu2.png HTTP/1.1" 200 3448
0:0:0:0:0:0:0:1 - - [04/May/2020:11:04:00 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 8732
0:0:0:0:0:0:0:1 - - [04/May/2020:11:04:01 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/May/2020:11:04:13 +0530] "GET /ResumeClassification/pages/jobApplied.jsp?jobid=3 HTTP/1.1" 500 2929
0:0:0:0:0:0:0:1 - - [04/May/2020:11:09:40 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 8732
0:0:0:0:0:0:0:1 - - [04/May/2020:11:09:40 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/May/2020:11:09:40 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/May/2020:11:09:46 +0530] "GET /ResumeClassification/pages/jobApplied.jsp?jobid=3 HTTP/1.1" 500 2929
0:0:0:0:0:0:0:1 - - [04/May/2020:11:10:37 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 8732
0:0:0:0:0:0:0:1 - - [04/May/2020:11:10:37 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/May/2020:11:10:37 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/May/2020:11:10:40 +0530] "GET /ResumeClassification/pages/jobApplied.jsp?jobid=3 HTTP/1.1" 500 2929
0:0:0:0:0:0:0:1 - - [04/May/2020:11:18:17 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [04/May/2020:11:18:24 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/May/2020:11:18:24 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6781
0:0:0:0:0:0:0:1 - - [04/May/2020:11:18:31 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 8732
0:0:0:0:0:0:0:1 - - [04/May/2020:11:18:31 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/May/2020:11:18:32 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/May/2020:11:18:34 +0530] "GET /ResumeClassification/pages/jobApplied.jsp?jobid=3 HTTP/1.1" 500 2929
0:0:0:0:0:0:0:1 - - [04/May/2020:11:20:21 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [04/May/2020:11:20:26 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/May/2020:11:20:26 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6781
0:0:0:0:0:0:0:1 - - [04/May/2020:11:20:29 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 8732
0:0:0:0:0:0:0:1 - - [04/May/2020:11:20:29 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/May/2020:11:20:29 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/May/2020:11:20:31 +0530] "GET /ResumeClassification/pages/jobApplied.jsp?jobid=3 HTTP/1.1" 500 2553
0:0:0:0:0:0:0:1 - - [04/May/2020:11:21:42 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 8732
0:0:0:0:0:0:0:1 - - [04/May/2020:11:21:43 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/May/2020:11:21:46 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/May/2020:11:21:57 +0530] "GET /ResumeClassification/pages/jobApplied.jsp?jobid=3 HTTP/1.1" 500 2388
0:0:0:0:0:0:0:1 - - [04/May/2020:11:22:03 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 500 2396
0:0:0:0:0:0:0:1 - - [04/May/2020:11:22:07 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
