127.0.0.1 - - [18/Apr/2020:09:32:51 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:33:10 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:34:02 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:34:09 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:34:09 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 200 113751
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:34:10 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:34:10 +0530] "GET /ResumeClassification/theme/assets/js/ready.min.js HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:34:10 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:34:18 +0530] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:35:02 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:35:02 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:35:03 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6954
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:35:04 +0530] "GET /ResumeClassification/theme/assets/img/menu2.png HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:35:04 +0530] "GET /ResumeClassification/theme/assets/fonts/line-awesome.woff2?v=1.1. HTTP/1.1" 200 45108
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:35:09 +0530] "GET /ResumeClassification/pages/uploadResume.jsp HTTP/1.1" 200 14721
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:36:17 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=uploadResume HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:36:17 +0530] "GET /ResumeClassification/pages/viewResume.jsp HTTP/1.1" 200 9520
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:36:19 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=showImage&pid=2 HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:36:41 +0530] "GET /ResumeClassification/pages/viewResume.jsp HTTP/1.1" 200 9520
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:36:41 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2020:09:36:41 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 304 -
