127.0.0.1 - - [24/Apr/2020:16:50:11 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:50:14 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:50:15 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:50:16 +0530] "GET /ResumeClassification/theme/assets/img/resume.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:50:37 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:50:39 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:50:39 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 200 113751
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:50:39 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:50:39 +0530] "GET /ResumeClassification/theme/assets/js/ready.min.js HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:50:39 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:50:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:51:45 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:51:45 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:51:45 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:51:45 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:51:45 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:51:45 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:51:45 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:51:45 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:51:45 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:51:45 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:51:45 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:51:45 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6781
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:51:46 +0530] "GET /ResumeClassification/theme/assets/fonts/line-awesome.woff2?v=1.1. HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:51:55 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 9483
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:52:12 +0530] "GET /ResumeClassification/pages/jobApplied.jsp?jobid=7 HTTP/1.1" 200 15400
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:52:13 +0530] "GET /ResumeClassification/img.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:52:13 +0530] "GET /ResumeClassification/img.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:52:14 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=showImage&pid=5 HTTP/1.1" 200 18852
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:52:14 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=showImage&pid=4 HTTP/1.1" 200 13091
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:52:14 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=showImage&pid=3 HTTP/1.1" 200 13096
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:52:14 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=showImage&pid=2 HTTP/1.1" 200 13096
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:52:48 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=sendEmail HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:53:17 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 9483
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:53:19 +0530] "GET /ResumeClassification/pages/jobApplied.jsp?jobid=5 HTTP/1.1" 200 17420
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:53:19 +0530] "GET /ResumeClassification/img.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:53:20 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=showImage&pid=2 HTTP/1.1" 200 13096
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:53:20 +0530] "GET /ResumeClassification/img.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [24/Apr/2020:16:53:20 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=showImage&pid=3 HTTP/1.1" 200 13096
