127.0.0.1 - - [08/May/2020:11:53:02 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/May/2020:11:53:06 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [08/May/2020:11:53:35 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [08/May/2020:11:53:39 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [08/May/2020:11:53:39 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 200 113751
0:0:0:0:0:0:0:1 - - [08/May/2020:11:53:39 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [08/May/2020:11:53:40 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [08/May/2020:11:53:40 +0530] "GET /ResumeClassification/theme/assets/js/ready.min.js HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [08/May/2020:11:53:49 +0530] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:05 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:05 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:05 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:05 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:05 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:05 +0530] "GET /ResumeClassification/theme/assets/js/core/jquery.3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:05 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:05 +0530] "GET /ResumeClassification/theme/assets/js/core/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:05 +0530] "GET /ResumeClassification/theme/assets/js/core/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:06 +0530] "GET /ResumeClassification/theme/assets/js/plugin/bootstrap-toggle/bootstrap-toggle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:06 +0530] "GET /ResumeClassification/theme/assets/js/plugin/jquery-mapael/jquery.mapael.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:06 +0530] "GET /ResumeClassification/theme/assets/js/plugin/chartist/chartist.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:06 +0530] "GET /ResumeClassification/theme/assets/js/plugin/chart-circle/circles.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:06 +0530] "GET /ResumeClassification/theme/assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:06 +0530] "GET /ResumeClassification/theme/assets/js/plugin/chartist/plugin/chartist-plugin-tooltip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:06 +0530] "GET /ResumeClassification/theme/assets/js/plugin/jquery-ui-1.12.1.custom/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:06 +0530] "GET /ResumeClassification/theme/assets/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:06 +0530] "GET /ResumeClassification/theme/assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:06 +0530] "GET /ResumeClassification/theme/assets/js/plugin/jquery-mapael/maps/world_countries.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:06 +0530] "GET /ResumeClassification/theme/assets/js/ready.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:07 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:07 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:07 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:07 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:07 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:07 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:07 +0530] "GET /ResumeClassification/theme/assets/img/resume.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:11 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:12 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6777
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:13 +0530] "GET /ResumeClassification/theme/assets/fonts/line-awesome.woff2?v=1.1. HTTP/1.1" 200 45108
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:13 +0530] "GET /ResumeClassification/theme/assets/img/menu2.png HTTP/1.1" 200 3448
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:16 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:17 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:17 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [08/May/2020:11:55:19 +0530] "GET /ResumeClassification/pages/jobApplied.jsp?jobid=1 HTTP/1.1" 500 2729
0:0:0:0:0:0:0:1 - - [08/May/2020:12:00:29 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [08/May/2020:12:00:29 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6777
0:0:0:0:0:0:0:1 - - [08/May/2020:12:00:32 +0530] "GET /ResumeClassification/pages/viewJobApplied.jsp HTTP/1.1" 200 8713
0:0:0:0:0:0:0:1 - - [08/May/2020:12:00:32 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [08/May/2020:12:00:32 +0530] "GET /ResumeClassification/theme/assets/img/delete.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [08/May/2020:12:00:36 +0530] "GET /ResumeClassification/pages/jobApplied.jsp?jobid=1 HTTP/1.1" 200 11399
0:0:0:0:0:0:0:1 - - [08/May/2020:12:00:37 +0530] "GET /ResumeClassification/img.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [08/May/2020:12:00:38 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=showImage&pid=2 HTTP/1.1" 200 13091
0:0:0:0:0:0:0:1 - - [08/May/2020:12:00:45 +0530] "GET /ResumeClassification/tiles/ajax.jsp?methodId=logout HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [08/May/2020:12:00:45 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [08/May/2020:12:00:51 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [08/May/2020:12:00:51 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6777
0:0:0:0:0:0:0:1 - - [08/May/2020:12:00:54 +0530] "GET /ResumeClassification/pages/jobRecruite.jsp HTTP/1.1" 200 13595
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:29 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=postJob HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:31 +0530] "GET /ResumeClassification/pages/jobRecruite.jsp HTTP/1.1" 200 13595
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:34 +0530] "GET /ResumeClassification/pages/login.jsp HTTP/1.1" 200 4647
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:39 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:39 +0530] "GET /ResumeClassification/pages/dashboard.jsp HTTP/1.1" 200 6975
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:43 +0530] "GET /ResumeClassification/pages/jobs.jsp HTTP/1.1" 200 9662
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:45 +0530] "POST /ResumeClassification/tiles/ajax.jsp?methodId=applyJob&uid=2&jid=2 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:47 +0530] "GET /ResumeClassification/pages/jobs.jsp HTTP/1.1" 200 9645
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:47 +0530] "GET /ResumeClassification/theme/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:47 +0530] "GET /ResumeClassification/theme/assets/css/ready.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:47 +0530] "GET /ResumeClassification/theme/assets/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:47 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:47 +0530] "GET /ResumeClassification/theme/assets/js/jquery.masknumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:47 +0530] "GET /ResumeClassification/theme/assets/js/core/jquery.3.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:47 +0530] "GET /ResumeClassification/theme/assets/js/plugin/jquery-ui-1.12.1.custom/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:47 +0530] "GET /ResumeClassification/theme/assets/js/core/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:47 +0530] "GET /ResumeClassification/theme/assets/js/plugin/chartist/plugin/chartist-plugin-tooltip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:47 +0530] "GET /ResumeClassification/theme/assets/js/plugin/chartist/chartist.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/May/2020:12:01:47 +0530] "GET /ResumeClassification/theme/assets/js/plugin/bootstrap-toggle/bootstrap-toggle.min.js HTTP/1.1" 304 -
